QueryID,DocID,Score
Q0,CACM-1410,-119.65243382346583
Q0,CACM-1605,-120.31595192037682
Q0,CACM-1033,-121.28924280248943
Q0,CACM-1506,-121.53590313026503
Q0,CACM-1519,-121.81277733215924
Q0,CACM-2319,-121.91977483879164
Q0,CACM-2947,-122.35262029963506
Q0,CACM-1591,-122.95842215055869
Q0,CACM-1161,-123.03832545463203
Q0,CACM-2054,-123.17669637908263
Q0,CACM-1698,-123.9568302421757
Q0,CACM-0585,-124.10534981842035
Q0,CACM-1938,-124.75908134784275
Q0,CACM-1315,-125.48582962666481
Q0,CACM-2950,-125.49555395680089
Q0,CACM-2379,-125.70758924019319
Q0,CACM-0698,-125.72728045698832
Q0,CACM-1264,-125.72752075893959
Q0,CACM-1226,-125.75022750459014
Q0,CACM-1844,-125.83882171950832
Q0,CACM-0637,-125.8698738927278
Q0,CACM-2764,-125.94254506212164
Q0,CACM-0397,-125.9585644946315
Q0,CACM-1544,-126.16302293589924
Q0,CACM-1685,-126.2229846307538
Q0,CACM-1827,-126.23182411778923
Q0,CACM-1523,-126.35619976940625
Q0,CACM-2357,-126.42837198669494
Q0,CACM-2535,-126.50959019274423
Q0,CACM-2946,-126.69847389214746
Q0,CACM-2541,-126.79475297359947
Q0,CACM-1408,-126.80067751479605
Q0,CACM-1750,-126.86866849699867
Q0,CACM-1885,-127.08836253168856
Q0,CACM-3048,-127.11322965808054
Q0,CACM-1680,-127.19225035272645
Q0,CACM-3025,-127.24322074048534
Q0,CACM-1805,-127.43592787295617
Q0,CACM-3127,-127.45029228026485
Q0,CACM-2371,-127.73164949093545
Q0,CACM-1657,-127.84073312609064
Q0,CACM-2621,-127.89732416379127
Q0,CACM-3069,-128.0122552113278
Q0,CACM-2917,-128.14748532524868
Q0,CACM-1647,-128.2210431958607
Q0,CACM-2380,-128.2250204804422
Q0,CACM-1168,-128.27785049470603
Q0,CACM-2948,-128.3129226402464
Q0,CACM-2390,-128.40294429068155
Q0,CACM-2201,-128.46322700606746
Q0,CACM-2398,-128.5092544148796
Q0,CACM-0971,-128.58413837629445
Q0,CACM-1341,-128.61602489492796
Q0,CACM-0699,-128.71791064202097
Q0,CACM-2288,-128.7318167049651
Q0,CACM-2003,-128.73709901235546
Q0,CACM-2560,-128.85150472864817
Q0,CACM-1225,-128.85609926783857
Q0,CACM-1113,-128.88874206256583
Q0,CACM-2542,-128.91526553140508
Q0,CACM-1923,-128.94554040515789
Q0,CACM-0103,-129.02509364445982
Q0,CACM-1236,-129.03953012565933
Q0,CACM-3065,-129.04509804925308
Q0,CACM-2624,-129.07749111956147
Q0,CACM-1304,-129.09063061121321
Q0,CACM-1195,-129.14449342287685
Q0,CACM-2632,-129.17147531460242
Q0,CACM-2681,-129.1949697008979
Q0,CACM-2424,-129.2156779388539
Q0,CACM-1173,-129.2333913829565
Q0,CACM-2878,-129.32384664322583
Q0,CACM-1179,-129.35988061551208
Q0,CACM-2951,-129.38538849365943
Q0,CACM-2893,-129.44146263241998
Q0,CACM-1572,-129.46635301645696
Q0,CACM-0414,-129.5294686348178
Q0,CACM-1163,-129.57062852656463
Q0,CACM-2500,-129.6159607915635
Q0,CACM-2378,-129.6397899309743
Q0,CACM-1697,-129.72364636989525
Q0,CACM-1862,-129.7930303900774
Q0,CACM-1735,-129.83174864850196
Q0,CACM-1247,-129.8886508701938
Q0,CACM-2372,-129.96960231461213
Q0,CACM-0252,-129.99155591089365
Q0,CACM-2666,-130.053871942455
Q0,CACM-2629,-130.07089320659512
Q0,CACM-2153,-130.08507000906855
Q0,CACM-3137,-130.0875474960989
Q0,CACM-0202,-130.10769366201203
Q0,CACM-0972,-130.1122357866223
Q0,CACM-1393,-130.1520676826386
Q0,CACM-2622,-130.1550937409432
Q0,CACM-3156,-130.18883072730918
Q0,CACM-2219,-130.26193739447157
Q0,CACM-3011,-130.26540299444574
Q0,CACM-1260,-130.26768850901811
Q0,CACM-2317,-130.26982270591301
Q0,CACM-3068,-130.32458886815235
Q1,CACM-3078,-127.57063905773215
Q1,CACM-2434,-132.3909470284536
Q1,CACM-3129,-134.69238949348357
Q1,CACM-1977,-136.5982033472497
Q1,CACM-2863,-136.60049990573643
Q1,CACM-1264,-137.62299106731098
Q1,CACM-0497,-138.05209382931167
Q1,CACM-2177,-138.32527965668842
Q1,CACM-1652,-138.93323804000025
Q1,CACM-0616,-139.1498159200784
Q1,CACM-1010,-139.50406843463793
Q1,CACM-1272,-139.51111907829565
Q1,CACM-1931,-139.52446503643185
Q1,CACM-2572,-139.60507171063853
Q1,CACM-0282,-139.86828617492029
Q1,CACM-1519,-139.99832015355668
Q1,CACM-2786,-140.61079783886817
Q1,CACM-0531,-140.93687405089608
Q1,CACM-3202,-141.00447031106006
Q1,CACM-3117,-141.04314374835133
Q1,CACM-2939,-141.0540175033345
Q1,CACM-1764,-141.08209639364284
Q1,CACM-3171,-141.1311333401093
Q1,CACM-2002,-141.14573375160103
Q1,CACM-2439,-141.2904009591736
Q1,CACM-2215,-141.41421669777364
Q1,CACM-2047,-141.54238256319798
Q1,CACM-2039,-141.54789920034426
Q1,CACM-1593,-141.82813112968236
Q1,CACM-2980,-141.8286042058245
Q1,CACM-1012,-141.82967687506255
Q1,CACM-2194,-141.85403928532673
Q1,CACM-1154,-141.86261860614505
Q1,CACM-1046,-141.97590800875662
Q1,CACM-0727,-142.04558483147073
Q1,CACM-1651,-142.07516906805319
Q1,CACM-1867,-142.1686807125221
Q1,CACM-2905,-142.28456991283707
Q1,CACM-0397,-142.39674757285474
Q1,CACM-1364,-142.42130787978715
Q1,CACM-1553,-142.56834760193752
Q1,CACM-0670,-142.64560203252782
Q1,CACM-2233,-142.64928126821383
Q1,CACM-1930,-142.80262449006335
Q1,CACM-1975,-142.85357148867726
Q1,CACM-1259,-142.90653032752883
Q1,CACM-1623,-142.9464076277448
Q1,CACM-2519,-143.03795081911318
Q1,CACM-1671,-143.08365586746933
Q1,CACM-1705,-143.09634456418985
Q1,CACM-1427,-143.116837706742
Q1,CACM-0626,-143.20425861051234
Q1,CACM-0242,-143.21821793385433
Q1,CACM-2771,-143.2183920070068
Q1,CACM-2812,-143.21918936741358
Q1,CACM-1674,-143.236202475939
Q1,CACM-1564,-143.23988029930723
Q1,CACM-2852,-143.31441503115062
Q1,CACM-2368,-143.35528570950746
Q1,CACM-1527,-143.3904370608788
Q1,CACM-2451,-143.46621833840473
Q1,CACM-1062,-143.50992317235807
Q1,CACM-2352,-143.5205687171231
Q1,CACM-2250,-143.60507747650706
Q1,CACM-1334,-143.626561141528
Q1,CACM-1634,-143.6704099673371
Q1,CACM-1145,-143.68534380177414
Q1,CACM-1397,-143.70620881254857
Q1,CACM-2304,-143.71891071180812
Q1,CACM-2993,-143.749251205408
