QueryID,DocID,Score
Q0,CACM-1410,-87.54753032253747
Q0,CACM-2319,-88.76470537678553
Q0,CACM-1519,-89.39180548139872
Q0,CACM-1605,-90.77772536249414
Q0,CACM-1506,-90.84630250590634
Q0,CACM-3025,-91.89384226029313
Q0,CACM-1168,-92.13146300954519
Q0,CACM-1161,-92.16081739765829
Q0,CACM-0585,-92.56697692663437
Q0,CACM-3048,-92.64292395980928
Q0,CACM-1591,-92.72446706196921
Q0,CACM-2947,-92.75348321433121
Q0,CACM-1680,-93.0703966742704
Q0,CACM-1315,-93.16589914765567
Q0,CACM-2054,-93.3083090405305
Q0,CACM-1033,-93.55420238840532
Q0,CACM-0971,-93.65704369644398
Q0,CACM-1938,-93.75295232375126
Q0,CACM-1844,-93.80493930722771
Q0,CACM-2379,-93.85343821456064
Q0,CACM-1523,-93.9849893292609
Q0,CACM-1685,-93.99776528423911
Q0,CACM-1544,-94.04720239539948
Q0,CACM-2380,-94.26032255396528
Q0,CACM-1750,-94.51412903558753
Q0,CACM-2629,-94.58185220550179
Q0,CACM-2371,-94.64913240174754
Q0,CACM-1236,-94.84206959363183
Q0,CACM-2621,-94.85405368850746
Q0,CACM-2951,-94.89917253976625
Q0,CACM-2357,-95.1018112126673
Q0,CACM-1805,-95.13950415785602
Q0,CACM-1408,-95.1779598257718
Q0,CACM-1264,-95.24884397753135
Q0,CACM-2624,-95.25384248822135
Q0,CACM-3127,-95.32166500681666
Q0,CACM-2317,-95.42630136568077
Q0,CACM-1647,-95.705431008042
Q0,CACM-2740,-95.71085176379871
Q0,CACM-0414,-95.79401806443165
Q0,CACM-1697,-95.87925162651177
Q0,CACM-0698,-95.92130061244178
Q0,CACM-3069,-95.95643669149649
Q0,CACM-2950,-95.96049572269727
Q0,CACM-0397,-95.9893732245183
Q0,CACM-1179,-96.08314752822288
Q0,CACM-2358,-96.09125176220455
Q0,CACM-1341,-96.2089787015329
Q0,CACM-1753,-96.251772762868
Q0,CACM-2372,-96.35517214266972
Q0,CACM-0637,-96.43180843032047
Q0,CACM-2535,-96.43485849126505
Q0,CACM-1195,-96.48216466811883
Q0,CACM-1755,-96.50685559922368
Q0,CACM-0103,-96.51069516161644
Q0,CACM-1698,-96.5134963979034
Q0,CACM-0252,-96.53649926959145
Q0,CACM-1572,-96.56788452086049
Q0,CACM-1747,-96.60716363792872
Q0,CACM-2948,-96.63332886000542
Q0,CACM-2632,-96.63911226575067
Q0,CACM-2917,-96.66057244622368
Q0,CACM-1657,-96.66759910995658
Q0,CACM-2946,-96.82370884260737
Q0,CACM-2219,-96.8380495400375
Q0,CACM-1046,-96.87148321820054
Q0,CACM-2424,-96.87569247640441
Q0,CACM-1749,-96.98932143315653
Q0,CACM-1304,-96.99590258852129
Q0,CACM-1827,-97.02758260492922
Q0,CACM-1163,-97.03840430635987
Q0,CACM-2151,-97.08817242479435
Q0,CACM-1526,-97.11465716141936
Q0,CACM-1462,-97.12305534218655
Q0,CACM-1885,-97.26706448509833
Q0,CACM-2796,-97.28728433263535
Q0,CACM-3137,-97.37795346305204
Q0,CACM-2681,-97.394942203727
Q0,CACM-1472,-97.48375472093429
Q0,CACM-1113,-97.49266513303868
Q0,CACM-2542,-97.5218465514349
Q0,CACM-0098,-97.53076052440412
Q0,CACM-2920,-97.62129814615182
Q0,CACM-1534,-97.70197879021623
Q0,CACM-1225,-97.84737640020215
Q0,CACM-2370,-97.86639921013463
Q0,CACM-2878,-97.98891045676238
Q0,CACM-2398,-98.00120213381199
Q0,CACM-1642,-98.03425737353152
Q0,CACM-2313,-98.03628319755381
Q0,CACM-0615,-98.05257363929788
Q0,CACM-0462,-98.11526787322119
Q0,CACM-0322,-98.15750342651555
Q0,CACM-1034,-98.16774941615176
Q0,CACM-2500,-98.16823002029075
Q0,CACM-1862,-98.17349749130139
Q0,CACM-3089,-98.22183970897063
Q0,CACM-0796,-98.23054400621297
Q0,CACM-1391,-98.23971438862954
Q0,CACM-2892,-98.32590032399769
Q1,CACM-3078,-71.589564132096
Q1,CACM-2434,-73.24062761935004
Q1,CACM-2863,-74.41684000553026
Q1,CACM-0397,-81.04241429739024
Q1,CACM-1046,-81.79624383862858
Q1,CACM-1867,-81.9774827541693
Q1,CACM-1014,-82.00298162779318
Q1,CACM-1623,-82.31710352202818
Q1,CACM-0492,-82.37074457212262
Q1,CACM-0531,-82.64316596277526
Q1,CACM-1397,-82.68634815654426
Q1,CACM-0435,-82.84965623826774
Q1,CACM-0597,-82.94040269955305
Q1,CACM-0616,-83.05902127199145
Q1,CACM-0847,-83.23546682509195
Q1,CACM-1305,-83.45232870684073
Q1,CACM-1168,-83.64704356518308
Q1,CACM-1183,-83.85828963999644
Q1,CACM-1345,-83.94901992440032
Q1,CACM-1625,-83.96132294310932
Q1,CACM-1424,-83.98547543648752
Q1,CACM-1315,-84.0656085893003
Q1,CACM-3189,-84.07653906683247
Q1,CACM-0971,-84.08734879295501
Q1,CACM-1439,-84.13967468591404
Q1,CACM-3202,-84.22266141178338
Q1,CACM-2439,-84.28167518518724
Q1,CACM-1391,-84.29044508655194
Q1,CACM-1591,-84.34560018511947
Q1,CACM-1403,-84.36600753535791
Q1,CACM-1926,-84.40557919590852
Q1,CACM-2519,-84.45102844628954
Q1,CACM-1427,-84.47297799854911
Q1,CACM-0728,-84.50848960958211
Q1,CACM-1705,-84.5154381403256
Q1,CACM-1161,-84.53598900013041
Q1,CACM-0942,-84.54274329921031
Q1,CACM-1117,-84.56272732716815
Q1,CACM-0282,-84.56929779132949
Q1,CACM-1564,-84.62650061523136
